iter	Passed	Remaining
0	55	55255
1	55	27788
2	56	18643
3	56	14040
4	56	11290
5	57	9453
6	57	8127
7	57	7158
8	58	6398
9	58	5786
10	58	5295
11	59	4881
12	59	4525
13	59	4213
14	60	3953
15	60	3723
16	60	3521
17	61	3342
18	61	3182
19	62	3038
20	62	2912
21	62	2793
22	63	2680
23	63	2580
24	63	2487
25	64	2402
26	64	2321
27	64	2247
28	65	2177
29	65	2113
30	65	2054
31	66	2000
32	66	1945
33	66	1897
34	67	1851
35	67	1805
36	67	1764
37	68	1725
38	68	1689
39	68	1653
40	69	1620
41	69	1587
42	69	1556
43	70	1526
44	70	1497
45	70	1469
46	71	1442
47	71	1417
48	71	1395
49	72	1375
50	72	1353
51	73	1332
52	73	1311
53	73	1292
54	74	1273
55	74	1253
56	74	1235
57	74	1217
58	75	1200
59	75	1183
60	75	1169
61	76	1154
62	76	1139
63	76	1125
64	77	1112
65	77	1098
66	77	1085
67	78	1072
68	78	1061
69	79	1049
70	79	1038
71	79	1027
72	80	1016
73	80	1005
74	80	995
75	81	985
76	81	976
77	81	966
78	82	957
79	82	948
80	82	939
81	83	930
82	83	922
83	83	914
84	84	905
85	84	898
86	84	889
87	85	882
88	85	874
89	85	866
90	86	859
91	86	853
92	86	846
93	87	840
94	87	834
95	87	828
96	88	821
97	88	817
98	88	809
99	89	803
100	89	797
101	90	793
102	90	787
103	90	781
104	90	775
105	91	770
106	91	765
107	92	760
108	92	755
109	92	750
110	93	745
111	93	740
112	93	735
113	94	731
114	94	727
115	94	723
116	95	718
117	95	714
118	96	710
119	96	706
120	96	701
121	96	697
122	97	692
123	97	688
124	97	684
125	98	681
126	98	677
127	98	673
128	99	669
129	99	665
130	99	662
131	100	658
132	100	654
133	100	651
134	101	647
135	101	644
136	101	641
137	102	637
138	102	633
139	102	630
140	102	627
141	103	624
142	103	620
143	103	616
144	104	614
145	104	611
146	104	608
147	105	605
148	105	602
149	105	599
150	105	595
151	106	593
152	106	590
153	106	587
154	107	584
155	107	581
156	107	578
157	108	576
158	108	573
159	108	571
160	109	568
161	109	566
162	110	567
163	110	564
164	111	562
165	111	560
166	111	557
167	112	555
168	112	553
169	112	551
170	113	548
171	113	546
172	113	544
173	114	542
174	114	539
175	114	537
176	115	535
177	115	533
178	115	530
179	116	528
180	116	526
181	116	525
182	117	523
183	117	521
184	117	519
185	118	517
186	118	515
187	118	513
188	119	511
189	119	509
190	119	507
191	120	505
192	120	503
193	120	501
194	121	499
195	121	497
196	121	496
197	122	494
198	122	492
199	122	490
200	123	489
201	123	487
202	123	485
203	124	484
204	124	483
205	124	481
206	125	479
207	125	477
208	125	476
209	126	474
210	126	473
211	126	471
212	127	469
213	127	468
214	127	466
215	128	464
216	128	463
217	128	462
218	129	460
219	129	459
220	129	457
221	130	455
222	130	454
223	130	452
224	130	450
225	131	449
226	131	447
227	131	446
228	132	445
229	132	443
230	132	442
231	133	441
232	133	439
233	133	438
234	134	437
235	134	435
236	135	434
237	135	433
238	135	432
239	135	430
240	136	429
241	136	427
242	136	426
243	137	425
244	137	423
245	137	422
246	138	420
247	138	419
248	138	418
249	139	417
250	139	415
251	139	414
252	139	413
253	140	411
254	140	410
255	140	409
256	141	408
257	141	407
258	141	405
259	142	404
260	142	403
261	142	402
262	143	401
263	143	400
264	143	399
265	144	398
266	144	397
267	145	396
268	145	395
269	145	393
270	146	392
271	146	391
272	146	390
273	147	389
274	147	388
275	147	387
276	147	386
277	148	385
278	148	384
279	149	383
280	149	382
281	149	381
282	150	380
283	150	379
284	150	378
285	151	377
286	151	376
287	152	375
288	152	375
289	152	374
290	153	373
291	153	372
292	153	371
293	154	369
294	154	369
295	154	368
296	155	367
297	155	366
298	155	365
299	156	364
300	156	363
301	156	362
302	156	360
303	157	359
304	157	358
305	157	357
306	158	356
307	158	355
308	158	355
309	159	354
310	159	353
311	159	352
312	159	351
313	160	350
314	160	349
315	160	348
316	161	347
317	161	346
318	161	345
319	162	344
320	162	344
321	162	343
322	163	342
323	163	341
324	163	340
325	164	339
326	164	338
327	164	337
328	165	336
329	165	336
330	165	335
331	166	334
332	166	333
333	166	332
334	167	331
335	167	330
336	167	330
337	168	329
338	168	328
339	168	327
340	169	327
341	169	326
342	169	325
343	170	324
344	170	323
345	170	322
346	171	321
347	171	321
348	171	320
349	171	319
350	172	318
351	172	317
352	172	316
353	173	316
354	173	315
355	174	314
356	174	314
357	174	313
358	175	312
359	175	311
360	175	311
361	176	310
362	176	309
363	176	308
364	176	307
365	177	307
366	177	306
367	178	305
368	178	304
369	178	304
370	178	303
371	179	302
372	179	301
373	179	301
374	180	300
375	180	299
376	181	299
377	181	298
378	181	297
379	182	296
380	182	296
381	182	295
382	182	294
383	183	294
384	183	293
385	183	292
386	184	291
387	184	290
388	184	290
389	185	289
390	185	288
391	185	288
392	186	287
393	186	286
394	186	285
395	187	285
396	187	284
397	187	283
398	187	283
399	188	282
400	188	281
401	188	281
402	189	280
403	189	279
404	189	279
405	190	278
406	190	277
407	190	277
408	191	276
409	191	275
410	192	275
411	192	274
412	192	274
413	193	273
414	193	272
415	193	272
416	194	271
417	194	271
418	194	270
419	195	269
420	195	269
421	195	268
422	196	267
423	196	266
424	196	266
425	197	265
426	197	264
427	197	264
428	197	263
429	198	262
430	198	262
431	198	261
432	199	260
433	199	260
434	199	259
435	200	258
436	200	258
437	200	257
438	200	256
439	201	256
440	201	255
441	202	255
442	202	254
443	202	253
444	203	253
445	203	252
446	203	252
447	204	251
448	204	250
449	204	250
450	205	249
451	205	249
452	206	248
453	206	248
454	206	247
455	207	246
456	207	246
457	207	245
458	207	245
459	208	244
460	208	243
461	208	243
462	209	242
463	209	242
464	209	241
465	210	240
466	210	240
467	211	239
468	211	239
469	211	238
470	211	238
