iter	Passed	Remaining
0	0	530
1	0	422
2	1	406
3	1	416
4	2	406
5	2	396
6	2	386
7	3	379
8	3	379
9	3	378
10	4	374
11	4	370
12	4	366
13	5	362
14	5	359
15	5	354
16	6	361
17	6	371
18	7	371
19	7	370
20	7	366
21	8	362
22	8	358
23	8	354
24	9	351
25	9	350
26	9	351
27	10	349
28	10	348
29	10	345
30	11	350
31	11	349
32	11	349
33	12	349
34	12	348
35	12	347
36	13	347
37	13	346
38	13	343
39	14	341
40	14	339
41	14	338
42	15	337
43	15	336
44	15	336
45	16	335
46	16	333
47	16	332
48	17	331
49	17	330
50	17	330
51	18	331
52	18	331
53	18	332
54	19	331
55	19	330
56	19	330
57	20	330
58	20	331
59	21	330
60	21	330
61	21	329
62	22	328
63	22	329
64	22	328
65	23	328
66	23	328
67	23	328
68	24	328
69	24	328
70	25	328
71	25	327
72	25	328
73	26	328
74	26	328
75	26	327
76	27	328
77	27	327
78	28	326
79	28	326
80	28	325
81	29	324
82	29	322
83	29	321
84	29	321
85	30	320
86	30	320
87	30	319
88	31	319
89	31	319
90	31	319
91	32	318
92	32	318
93	33	318
94	33	319
95	33	319
96	34	318
97	34	317
98	34	316
99	35	315
100	35	315
101	35	314
102	36	314
103	36	313
104	36	313
105	37	313
106	37	312
107	37	312
108	38	311
109	38	310
110	38	309
111	38	308
112	39	307
113	39	306
114	39	306
115	40	305
116	40	303
117	40	303
118	40	303
119	41	302
120	41	302
121	41	301
122	42	301
123	42	300
124	42	299
125	43	299
126	43	298
127	43	297
128	44	297
129	44	297
130	44	297
131	45	296
132	45	296
133	45	295
134	46	295
135	46	294
136	46	294
137	47	294
138	47	293
139	47	293
140	48	293
141	48	291
142	48	291
143	48	290
144	49	290
145	49	290
146	49	290
147	50	289
148	50	289
149	50	288
150	51	288
151	51	288
152	51	287
153	52	287
154	52	286
155	52	286
156	53	285
157	53	285
158	53	285
159	54	284
160	54	284
161	54	283
162	55	283
163	55	282
164	55	282
165	56	282
166	56	281
167	56	281
168	57	281
169	57	280
170	57	280
171	58	279
172	58	279
173	58	278
174	59	278
175	59	277
176	59	277
177	60	277
178	60	276
179	60	276
180	61	276
181	61	275
182	61	275
183	62	275
184	62	274
185	62	274
186	63	274
187	63	273
188	63	273
189	64	273
190	64	273
191	64	272
192	65	272
193	65	272
194	65	271
195	66	271
196	66	271
197	66	270
198	67	270
199	67	270
200	67	270
201	68	269
202	68	269
203	68	268
204	69	268
205	69	268
206	69	267
207	70	267
208	70	266
209	70	266
210	71	266
211	71	265
212	71	265
213	72	264
214	72	264
215	72	264
216	73	264
217	73	263
218	73	263
219	74	262
220	74	262
221	75	262
222	75	262
223	75	262
224	75	261
225	76	261
226	76	261
227	77	261
228	77	260
229	77	260
230	78	259
231	78	259
232	78	259
233	79	258
234	79	258
235	79	258
236	80	257
237	80	257
238	80	256
239	80	256
240	81	255
